,material_id,shg,pretty_formula,elements,cif,spacegroup_number
75,mp-3432,129.22726461708828,ScNiSb,"['Sc', 'Ni', 'Sb']","# generated using pymatgen
data_ScNiSb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.28648131
_cell_length_b   4.28648131
_cell_length_c   4.28648131
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ScNiSb
_chemical_formula_sum   'Sc1 Ni1 Sb1'
_cell_volume   55.69135766
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.25000000  0.25000000  0.25000000  1
  Sb  Sb1  1  0.00000000  0.00000000  0.00000000  1
  Sc  Sc2  1  0.50000000  0.50000000  0.50000000  1
",216
540,mp-556378,2.2894010569596173,BiSeClO3,"['Bi', 'Se', 'Cl', 'O']","# generated using pymatgen
data_BiSeClO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.35300000
_cell_length_b   7.97800000
_cell_length_c   8.65100000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BiSeClO3
_chemical_formula_sum   'Bi4 Se4 Cl4 O12'
_cell_volume   438.46930833
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Bi  Bi0  1  0.95920000  0.80949000  0.82915000  1
  Bi  Bi1  1  0.45920000  0.69051000  0.17085000  1
  Bi  Bi2  1  0.54080000  0.19051000  0.32915000  1
  Bi  Bi3  1  0.04080000  0.30949000  0.67085000  1
  Se  Se4  1  0.85720000  0.90270000  0.44730000  1
  Se  Se5  1  0.35720000  0.59730000  0.55270000  1
  Se  Se6  1  0.14280000  0.40270000  0.05270000  1
  Se  Se7  1  0.64280000  0.09730000  0.94730000  1
  Cl  Cl8  1  0.76230000  0.47690000  0.35140000  1
  Cl  Cl9  1  0.23770000  0.97690000  0.14860000  1
  Cl  Cl10  1  0.73770000  0.52310000  0.85140000  1
  Cl  Cl11  1  0.26230000  0.02310000  0.64860000  1
  O  O12  1  0.13120000  0.61280000  0.65080000  1
  O  O13  1  0.15390000  0.62110000  0.04240000  1
  O  O14  1  0.27170000  0.65440000  0.37310000  1
  O  O15  1  0.63120000  0.88720000  0.34920000  1
  O  O16  1  0.77170000  0.84560000  0.62690000  1
  O  O17  1  0.34610000  0.37890000  0.54240000  1
  O  O18  1  0.72830000  0.15440000  0.12690000  1
  O  O19  1  0.84610000  0.12110000  0.45760000  1
  O  O20  1  0.65390000  0.87890000  0.95760000  1
  O  O21  1  0.86880000  0.11280000  0.84920000  1
  O  O22  1  0.36880000  0.38720000  0.15080000  1
  O  O23  1  0.22830000  0.34560000  0.87310000  1
",19
118,mp-570935,0.2445556210279973,LiI,"['Li', 'I']","# generated using pymatgen
data_LiI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.51400014
_cell_length_b   4.51400014
_cell_length_c   7.31100000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiI
_chemical_formula_sum   'Li2 I2'
_cell_volume   129.01213203
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.33333333  0.66666667  0.00000000  1
  Li  Li1  1  0.66666667  0.33333333  0.50000000  1
  I  I2  1  0.33333333  0.66666667  0.37500000  1
  I  I3  1  0.66666667  0.33333333  0.87500000  1
",186
319,mp-559122,0.0508142624750824,WO3,"['W', 'O']","# generated using pymatgen
data_WO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.98626056
_cell_length_b   5.38614908
_cell_length_c   5.38614908
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   WO3
_chemical_formula_sum   'W2 O6'
_cell_volume   115.64381829
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.49212255  0.00000000  0.50000000  1
  O  O1  1  0.50787746  0.50000000  0.00000000  1
  O  O2  1  0.00000000  0.74907624  0.25092376  1
  O  O3  1  0.00000000  0.25092376  0.74907624  1
  O  O4  1  0.00000000  0.74907624  0.74907624  1
  O  O5  1  0.00000000  0.25092376  0.25092376  1
  W  W6  1  0.93555718  0.00000000  0.50000000  1
  W  W7  1  0.06444282  0.50000000  0.00000000  1
",115
277,mp-23427,9.424009204692908,Ti3(BiO3)4,"['Ti', 'Bi', 'O']","# generated using pymatgen
data_Ti3(BiO3)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.42600000
_cell_length_b   5.43700000
_cell_length_c   16.56622368
_cell_angle_alpha   99.44489497
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti3(BiO3)4
_chemical_formula_sum   'Ti6 Bi8 O24'
_cell_volume   482.09766423
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Bi  Bi0  1  0.01910000  0.78880000  0.57800000  1
  Bi  Bi1  1  0.98090000  0.21080000  0.42200000  1
  Bi  Bi2  1  0.48090000  0.28880000  0.57800000  1
  Bi  Bi3  1  0.51910000  0.71080000  0.42200000  1
  Bi  Bi4  1  0.00410000  0.93380000  0.86760000  1
  Bi  Bi5  1  0.99590000  0.06620000  0.13240000  1
  Bi  Bi6  1  0.49590000  0.43380000  0.86760000  1
  Bi  Bi7  1  0.50410000  0.56620000  0.13240000  1
  O  O8  1  0.69410000  0.23690000  0.74900000  1
  O  O9  1  0.30590000  0.48790000  0.25100000  1
  O  O10  1  0.80590000  0.73690000  0.74900000  1
  O  O11  1  0.19410000  0.98790000  0.25100000  1
  O  O12  1  0.21990000  0.17090000  0.77960000  1
  O  O13  1  0.78010000  0.39130000  0.22040000  1
  O  O14  1  0.28010000  0.67090000  0.77960000  1
  O  O15  1  0.71990000  0.89130000  0.22040000  1
  O  O16  1  0.44260000  0.86140000  0.63580000  1
  O  O17  1  0.55740000  0.22560000  0.36420000  1
  O  O18  1  0.05740000  0.36140000  0.63580000  1
  O  O19  1  0.94260000  0.72560000  0.36420000  1
  O  O20  1  0.57740000  0.01980000  0.88180000  1
  O  O21  1  0.42260000  0.13800000  0.11820000  1
  O  O22  1  0.75200000  0.81800000  0.02140000  1
  O  O23  1  0.24800000  0.79660000  0.97860000  1
  O  O24  1  0.74800000  0.31800000  0.02140000  1
  O  O25  1  0.25200000  0.29660000  0.97860000  1
  O  O26  1  0.75360000  0.51330000  0.50220000  1
  O  O27  1  0.24640000  0.01110000  0.49780000  1
  O  O28  1  0.74640000  0.01330000  0.50220000  1
  O  O29  1  0.25360000  0.51110000  0.49780000  1
  O  O30  1  0.07740000  0.63800000  0.11820000  1
  O  O31  1  0.92260000  0.51980000  0.88180000  1
  Ti  Ti32  1  0.50390000  0.91640000  0.74320000  1
  Ti  Ti33  1  0.49610000  0.17320000  0.25680000  1
  Ti  Ti34  1  0.99610000  0.41640000  0.74320000  1
  Ti  Ti35  1  0.00390000  0.67320000  0.25680000  1
  Ti  Ti36  1  0.50000000  0.03380000  0.00000000  1
  Ti  Ti37  1  0.00000000  0.53380000  0.00000000  1
",41
68,mp-36582,1.0319883848833438,NaHS,"['Na', 'H', 'S']","# generated using pymatgen
data_NaHS
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.98599982
_cell_length_b   3.98599982
_cell_length_c   3.98599982
_cell_angle_alpha   68.10000428
_cell_angle_beta   68.10000428
_cell_angle_gamma   68.10000428
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaHS
_chemical_formula_sum   'Na1 H1 S1'
_cell_volume   52.46950178
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  H  H0  1  0.13600000  0.13600000  0.13600000  1
  Na  Na1  1  0.50000000  0.50000000  0.50000000  1
  S  S2  1  0.00000000  0.00000000  0.00000000  1
",160
181,mp-28513,0.1979977668563534,Pb(ClO3)2,"['Pb', 'Cl', 'O']","# generated using pymatgen
data_Pb(ClO3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.91136939
_cell_length_b   6.91136939
_cell_length_c   7.33743675
_cell_angle_alpha   106.48867244
_cell_angle_beta   106.48867244
_cell_angle_gamma   113.41288381
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pb(ClO3)2
_chemical_formula_sum   'Pb2 Cl4 O12'
_cell_volume   275.30033428
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cl  Cl0  1  0.97230000  0.36510000  0.95620000  1
  Cl  Cl1  1  0.40890000  0.01610000  0.04380000  1
  Cl  Cl2  1  0.61510000  0.72230000  0.45620000  1
  Cl  Cl3  1  0.26610000  0.15890000  0.54380000  1
  O  O4  1  0.86500000  0.11900000  0.91400000  1
  O  O5  1  0.20500000  0.95100000  0.08600000  1
  O  O6  1  0.36900000  0.61500000  0.41400000  1
  O  O7  1  0.20100000  0.95500000  0.58600000  1
  O  O8  1  0.61700000  0.59500000  0.25400000  1
  O  O9  1  0.34100000  0.36300000  0.74600000  1
  O  O10  1  0.03700000  0.11900000  0.38800000  1
  O  O11  1  0.73100000  0.64900000  0.61200000  1
  O  O12  1  0.36900000  0.78700000  0.88800000  1
  O  O13  1  0.89900000  0.48100000  0.11200000  1
  O  O14  1  0.61300000  0.09100000  0.24600000  1
  O  O15  1  0.84500000  0.36700000  0.75400000  1
  Pb  Pb16  1  0.75000000  0.75000000  0.00000000  1
  Pb  Pb17  1  0.00000000  0.50000000  0.50000000  1
",43
63,mp-36111,14.770006430271795,LiMgP,"['Li', 'Mg', 'P']","# generated using pymatgen
data_LiMgP
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.25890416
_cell_length_b   4.25890416
_cell_length_c   4.25890416
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMgP
_chemical_formula_sum   'Li1 Mg1 P1'
_cell_volume   54.62338420
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.25000000  0.25000000  0.25000000  1
  Mg  Mg1  1  0.75000000  0.75000000  0.75000000  1
  P  P2  1  0.00000000  0.00000000  0.00000000  1
",216
541,mp-8059,0.0310996976496484,SiO2,"['Si', 'O']","# generated using pymatgen
data_SiO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.13000000
_cell_length_b   7.13000000
_cell_length_c   7.13000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SiO2
_chemical_formula_sum   'Si8 O16'
_cell_volume   362.46709700
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si0  1  0.98160000  0.51840000  0.48160000  1
  Si  Si1  1  0.51840000  0.48160000  0.98160000  1
  Si  Si2  1  0.48160000  0.98160000  0.51840000  1
  Si  Si3  1  0.01840000  0.01840000  0.01840000  1
  Si  Si4  1  0.72420000  0.77580000  0.22420000  1
  Si  Si5  1  0.77580000  0.22420000  0.72420000  1
  Si  Si6  1  0.22420000  0.72420000  0.77580000  1
  Si  Si7  1  0.27580000  0.27580000  0.27580000  1
  O  O8  1  0.86090000  0.34480000  0.55570000  1
  O  O9  1  0.36090000  0.15520000  0.44430000  1
  O  O10  1  0.13910000  0.84480000  0.94430000  1
  O  O11  1  0.15520000  0.44430000  0.36090000  1
  O  O12  1  0.94430000  0.13910000  0.84480000  1
  O  O13  1  0.44430000  0.36090000  0.15520000  1
  O  O14  1  0.34480000  0.55570000  0.86090000  1
  O  O15  1  0.55570000  0.86090000  0.34480000  1
  O  O16  1  0.14700000  0.14700000  0.14700000  1
  O  O17  1  0.35300000  0.85300000  0.64700000  1
  O  O18  1  0.64700000  0.35300000  0.85300000  1
  O  O19  1  0.85300000  0.64700000  0.35300000  1
  O  O20  1  0.63910000  0.65520000  0.05570000  1
  O  O21  1  0.05570000  0.63910000  0.65520000  1
  O  O22  1  0.65520000  0.05570000  0.63910000  1
  O  O23  1  0.84480000  0.94430000  0.13910000  1
",198
60,mp-30847,37.84125851846766,TiSnPt,"['Ti', 'Sn', 'Pt']","# generated using pymatgen
data_TiSnPt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.35577777
_cell_length_b   4.35577777
_cell_length_c   4.35577777
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiSnPt
_chemical_formula_sum   'Ti1 Sn1 Pt1'
_cell_volume   58.43622394
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pt  Pt0  1  0.75000000  0.75000000  0.75000000  1
  Sn  Sn1  1  0.50000000  0.50000000  0.50000000  1
  Ti  Ti2  1  0.00000000  0.00000000  0.00000000  1
",216
